127.0.0.1 - - [23/Mar/2025:13:05:32 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:05:35 +0530] "GET /ecommerce/ HTTP/1.1" 200 17647
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:05:35 +0530] "GET /ecommerce/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:05:35 +0530] "GET /ecommerce/book/avenger.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:05:35 +0530] "GET /ecommerce/book/ho.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:05:35 +0530] "GET /ecommerce/book/codeing.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:05:35 +0530] "GET /ecommerce/book/co4.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:05:35 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:05:40 +0530] "GET /ecommerce/setting.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:05:40 +0530] "GET /ecommerce/login.jsp HTTP/1.1" 200 6507
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:05:47 +0530] "POST /ecommerce/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:05:47 +0530] "GET /ecommerce/login.jsp HTTP/1.1" 200 6605
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:05:52 +0530] "POST /ecommerce/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:05:52 +0530] "GET /ecommerce/login.jsp HTTP/1.1" 200 6605
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:05:59 +0530] "POST /ecommerce/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:05:59 +0530] "GET /ecommerce/login.jsp HTTP/1.1" 200 6605
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:06:46 +0530] "POST /ecommerce/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:06:46 +0530] "GET /ecommerce/index.jsp HTTP/1.1" 200 17881
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:06:46 +0530] "GET /ecommerce/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:06:54 +0530] "GET /ecommerce/checkout.jsp HTTP/1.1" 200 12031
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:06:58 +0530] "GET /ecommerce/remove_book?bid=36&&uid=5&&cid=5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:06:58 +0530] "GET /ecommerce/checkout.jsp HTTP/1.1" 200 11273
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:07:00 +0530] "GET /ecommerce/remove_book?bid=38&&uid=5&&cid=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:07:00 +0530] "GET /ecommerce/checkout.jsp HTTP/1.1" 200 10429
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:07:04 +0530] "GET /ecommerce/index.jsp HTTP/1.1" 200 17881
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:07:04 +0530] "GET /ecommerce/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:07:08 +0530] "GET /ecommerce/cart?bid=41&uid=5&stock=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:07:09 +0530] "GET /ecommerce/all_new.jsp HTTP/1.1" 200 9240
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:07:10 +0530] "GET /ecommerce/checkout.jsp HTTP/1.1" 200 11164
0:0:0:0:0:0:0:1 - - [23/Mar/2025:13:07:20 +0530] "POST /ecommerce/order HTTP/1.1" 200 1211
